Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,66284	0,44077	4,10361	22	25,72792	27	43	58	31	1431	7,5	True	30%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	4,27758	0,4632	4,74078	22	25,72792	31	44	58	31	1463	10	True	0%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,65366	0,52311	4,17677	22	25,72792	31	44	58	31	1463	10	True	10%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,41504	0,42838	3,84342	22	25,72792	31	44	58	31	1463	10	True	20%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	4,70852	0,44175	5,15027	22	25,72792	24	39	58	31	1303	10	True	30%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,50272	0,88411	3,38683	23	26,31371	59	77	63	39	2527	---	---	---
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,52056	0,4303	2,95086	23	26,31371	16	32	63	39	1087	2,5	False	---
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,58911	0,4287	3,01781	23	26,31371	14	29	63	39	991	5	False	---
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,43683	0,40111	2,83794	23	26,31371	12	25	63	39	863	7,5	False	---
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,41444	0,34122	2,75566	23	26,31371	11	24	63	39	831	10	False	---
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,40268	0,45356	2,85624	23	26,31371	18	32	63	39	1087	2,5	True	0%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,43419	0,45963	2,89382	23	26,31371	18	32	63	39	1087	2,5	True	10%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,27106	0,40983	2,68089	23	26,31371	18	32	63	39	1087	2,5	True	20%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,52381	0,45846	2,98227	23	26,31371	18	32	63	39	1087	2,5	True	30%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,27818	0,44127	2,71945	23	26,31371	17	29	63	39	991	5	True	0%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,31439	0,53153	3,84592	23	26,31371	17	29	63	39	991	5	True	10%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,58578	0,46977	3,05555	23	26,31371	17	29	63	39	991	5	True	20%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,4372	0,45018	2,88738	23	26,31371	17	29	63	39	991	5	True	30%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,19217	0,49033	3,6825	23	26,31371	12	25	63	39	863	7,5	True	0%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,70442	0,42912	3,13354	23	26,31371	12	25	63	39	863	7,5	True	10%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,93176	0,6574399	4,5892	23	26,31371	12	25	63	39	863	7,5	True	20%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,89975	0,69278	4,59253	23	26,31371	12	25	63	39	863	7,5	True	30%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	4,08968	0,6864799	4,77616	23	26,31371	11	24	63	39	831	10	True	0%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	2,75626	0,46311	3,21937	23	26,31371	11	24	63	39	831	10	True	10%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,08183	0,44035	3,52218	23	26,31371	11	24	63	39	831	10	True	20%
AR0300SR	(96x121)	(118x112)	4	Dijkstra	True	3,57768	0,46047	4,03815	23	26,31371	11	24	63	39	831	10	True	30%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,52805	1,18387	2,71192	22	25,72792	28	43	85	58	1458	---	---	---
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,65686	0,71811	2,37497	22	25,72792	12	25	85	58	882	2,5	False	---
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,44237	0,7706	2,21297	22	25,72792	12	26	85	58	914	5	False	---
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	2,7996	0,8285	3,6281	22	25,72792	11	23	85	58	818	7,5	False	---
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,79479	0,74234	2,53713	22	25,72792	11	23	85	58	818	10	False	---
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,77647	0,76183	2,5383	22	25,72792	12	25	85	58	882	2,5	True	0%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	2,75054	0,9385601	3,6891	22	25,72792	12	25	85	58	882	2,5	True	10%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,89648	0,97602	2,8725	22	25,72792	12	25	85	58	882	2,5	True	20%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	2,10454	0,8824	2,98694	22	25,72792	12	25	85	58	882	2,5	True	30%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,60511	0,78508	2,39019	22	25,72792	12	26	85	58	914	5	True	0%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,91971	0,87296	2,79267	22	25,72792	12	26	85	58	914	5	True	10%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,6448	0,88184	2,52664	22	25,72792	12	26	85	58	914	5	True	20%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,6781	0,84355	2,52165	22	25,72792	12	26	85	58	914	5	True	30%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,83084	0,75429	2,58513	22	25,72792	11	23	85	58	818	7,5	True	0%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	2,15882	0,89715	3,05597	22	25,72792	11	23	85	58	818	7,5	True	10%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,77793	0,8323901	2,61032	22	25,72792	11	23	85	58	818	7,5	True	20%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,62344	0,82236	2,4458	22	25,72792	11	23	85	58	818	7,5	True	30%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	2,03083	0,8026401	2,83347	22	25,72792	11	23	85	58	818	10	True	0%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,78434	0,73975	2,52409	22	25,72792	11	23	85	58	818	10	True	10%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,67793	0,71634	2,39427	22	25,72792	11	23	85	58	818	10	True	20%
AR0300SR	(96x121)	(118x112)	6	Dijkstra	True	1,66959	0,7506199	2,42021	22	25,72792	11	23	85	58	818	10	True	30%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,11398	1,00095	2,11493	22	25,72792	8	20	112	86	750	---	---	---
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,20555	0,61343	1,81898	22	25,72792	3	9	112	86	398	2,5	False	---
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,2176	0,69505	1,91265	22	25,72792	3	9	112	86	398	5	False	---
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,0854	0,5921	1,6775	22	25,72792	3	9	112	86	398	7,5	False	---
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,22482	0,6518	1,87662	22	25,72792	3	9	112	86	398	10	False	---
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,17399	0,59492	1,76891	22	25,72792	3	9	112	86	398	2,5	True	0%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,6618	0,6412899	2,30309	22	25,72792	3	9	112	86	398	2,5	True	10%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,05332	0,50912	1,56244	22	25,72792	3	9	112	86	398	2,5	True	20%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	0,9094099	0,48283	1,39224	22	25,72792	3	9	112	86	398	2,5	True	30%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,2241	0,57873	1,80283	22	25,72792	3	9	112	86	398	5	True	0%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	0,89012	0,50642	1,39654	22	25,72792	3	9	112	86	398	5	True	10%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	0,91081	0,5160699	1,42688	22	25,72792	3	9	112	86	398	5	True	20%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,09282	0,54514	1,63796	22	25,72792	3	9	112	86	398	5	True	30%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,03445	0,48107	1,51552	22	25,72792	3	9	112	86	398	7,5	True	0%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,23074	0,59374	1,82448	22	25,72792	3	9	112	86	398	7,5	True	10%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,02177	0,5223	1,54407	22	25,72792	3	9	112	86	398	7,5	True	20%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,07478	0,5291899	1,60397	22	25,72792	3	9	112	86	398	7,5	True	30%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,07561	0,5420099	1,61762	22	25,72792	3	9	112	86	398	10	True	0%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,0308	0,54507	1,57587	22	25,72792	3	9	112	86	398	10	True	10%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,09474	0,56767	1,66241	22	25,72792	3	9	112	86	398	10	True	20%
AR0300SR	(96x121)	(118x112)	8	Dijkstra	True	1,03477	0,5466	1,58137	22	25,72792	3	9	112	86	398	10	True	30%
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,62777	0,99402	1,62179	22	25,72792	5	12	128	166	574	---	---	---
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,63367	0,7106099	1,34428	22	25,72792	2	6	128	166	382	2,5	False	---
AR0300SR	(96x121)	(118x112)	12	Dijkstra	True	0,53298	0,58349	1,11647	22	25,72792	2	6	128	166	382	5	False	---
